Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpRiskPercent,InpSL_ATR_Mult,InpTP_ATR_Mult,InpTrailStartMult,InpTrailStepMult,InpBreakEvenMult,InpFastEMA,InpSlowEMA,InpRSIPeriod,InpRSILow,InpRSIHigh,InpATRPeriodSlow,InpCooldownBars,InpMaxSpreadPoints,InpMaxSlippagePoints,InpStartHour,InpEndHour
3502,221.58,150.90,37.725000,2.954663,1.212146,0.612638,221.57758317432507,1.2443,4,0.75,2.00,3.00,1.00,1.55,1.6,20,220,12,50,59,75,8,14,10,23,11
3601,221.58,150.90,37.725000,2.954663,1.212146,0.612638,221.57758317432507,1.2443,4,0.75,2.00,3.00,1.00,1.55,1.9,16,280,12,50,59,75,8,14,10,23,11
2181,221.36,122.19,17.455714,2.582772,0.922746,1.201096,221.35832308701032,1.3170,7,0.75,2.00,3.00,1.00,0.45,0.8,22,280,12,50,59,75,8,14,10,23,15
565,221.31,78.69,19.672500,2.951153,0.406982,0.063702,221.31434265450221,1.8864,4,2.50,2.00,4.25,0.50,0.95,0.8,24,180,10,36,54,35,3,12,10,21,17
2832,220.99,79.65,9.956250,2.525862,1.353441,0.632858,220.99083195128765,0.5805,8,0.50,2.00,2.25,0.50,0.25,1.4,38,140,13,49,58,50,8,12,10,4,22
4428,220.87,174.26,29.043333,2.650658,1.174971,0.842559,220.86610763633942,1.4579,6,1.00,2.00,1.50,2.00,1.35,1.9,16,280,8,45,59,50,3,36,9,2,10
2657,220.87,95.17,15.861667,3.313320,2.104600,0.957506,220.86593803753635,0.4510,6,0.25,1.00,1.50,0.50,1.45,1.0,38,260,15,49,56,45,8,32,9,11,16
5155,220.81,182.03,36.406000,2.760445,1.508619,0.957309,220.81350859111379,1.1925,5,1.00,3.00,3.75,2.00,1.25,0.9,36,180,9,46,59,75,8,20,10,7,13
2138,220.72,429.02,107.255000,2.943201,1.177430,0.456333,220.71803146707705,3.3759,4,2.00,2.25,4.00,3.00,0.25,1.7,28,300,9,46,59,40,5,26,8,6,11
3842,220.31,329.75,41.218750,2.937768,0.796421,0.535007,220.31057751015169,3.8993,8,1.50,1.75,4.00,2.25,1.55,1.1,10,200,8,43,53,60,8,34,7,18,19
3667,220.26,229.68,45.936000,2.753550,1.593451,0.736026,220.26198662772293,1.4199,5,1.25,2.75,3.50,2.25,1.45,1.1,28,280,9,46,59,40,2,34,9,11,16
5383,219.42,333.67,33.367000,2.438233,0.775454,1.843338,219.41900637522454,4.1888,10,2.25,2.25,1.50,2.00,0.35,0.9,18,300,9,46,55,35,2,12,9,23,12
1998,219.24,519.34,86.556667,3.288951,2.354109,1.154310,219.24144870834729,2.0541,6,1.00,1.25,3.75,2.25,1.55,1.9,18,180,8,46,59,75,8,14,10,23,10
3792,219.24,519.34,86.556667,3.288951,2.354109,1.154310,219.24144870834729,2.0541,6,1.00,1.25,3.75,2.25,1.55,1.9,18,180,8,45,59,50,8,14,10,23,10
3515,219.11,277.74,30.860000,2.817432,1.280203,2.176052,219.11171008275431,2.1423,9,0.75,2.00,3.00,1.00,1.25,1.8,14,280,10,50,59,75,8,14,10,23,11
3764,218.74,732.79,34.894762,2.702302,1.616817,14.184088,218.73591827907288,4.4479,21,1.00,1.25,1.75,1.00,0.85,0.8,14,200,12,49,56,65,8,40,6,6,16
5320,218.68,175.47,35.094000,2.733722,1.487917,0.539108,218.67588954966772,1.1710,5,1.00,2.00,1.50,2.00,1.25,0.9,36,180,9,46,59,75,7,14,10,23,13
2289,218.18,488.99,25.736316,2.591195,1.260251,11.063134,218.18403921627672,3.8440,19,1.00,2.25,1.50,2.75,1.35,1.1,16,180,12,49,56,65,8,40,6,6,13
2605,217.78,74.25,7.425000,2.419966,0.949124,1.428118,217.77512438084932,0.7753,10,0.50,2.75,4.75,1.50,0.65,0.8,22,260,9,42,55,80,3,14,9,18,10
2875,217.75,423.36,42.336000,3.629565,1.882604,4.343889,217.7521378296953,2.2394,10,1.00,2.25,2.75,0.50,1.35,1.4,40,260,12,49,56,65,8,40,6,6,13
3314,217.75,444.28,13.463030,2.395483,2.417850,7.911105,217.74942894509172,1.7791,33,1.00,1.75,1.50,0.50,0.25,1.5,26,260,11,47,51,65,5,18,4,18,23
5488,217.57,400.32,80.064000,2.719957,1.449752,0.887638,217.57480535512508,2.6924,5,2.25,2.75,3.25,2.25,1.25,0.9,36,180,9,46,59,75,8,14,10,23,13
3201,217.37,512.48,23.294545,2.657063,2.218240,9.411231,217.37435953139229,2.2779,22,0.75,2.00,3.00,1.25,1.45,1.0,22,320,12,49,56,65,8,40,2,22,13
2281,217.18,371.88,30.990000,2.369421,0.738165,2.430153,217.17521869848662,4.7595,12,2.50,2.25,2.75,1.25,0.45,0.8,14,180,11,47,55,30,7,12,7,0,16
3265,216.36,481.63,26.757222,2.596546,1.250662,9.309506,216.35718882449282,3.8113,18,1.00,2.50,1.75,2.25,1.55,1.1,30,200,12,49,56,65,8,40,6,6,13
4091,216.24,694.72,86.840000,2.883425,1.896587,1.795902,216.23522189341548,3.5630,8,1.75,2.25,3.75,1.25,1.25,1.9,22,320,13,50,58,75,3,38,10,2,13
2079,216.21,436.17,62.310000,2.522727,0.979409,0.968904,216.21214501926431,4.1740,7,2.50,1.25,3.00,0.50,0.25,1.5,20,140,12,49,56,65,8,12,7,0,13
3678,216.10,60.08,20.026667,3.241791,1.667037,0.523461,216.09779320575402,0.3570,3,0.25,1.25,2.75,2.00,0.55,0.8,22,260,8,35,56,50,2,12,6,18,22
3519,215.98,151.29,16.810000,2.429962,1.020231,1.982996,215.97504185729298,1.4610,9,1.00,1.75,1.50,0.50,0.25,1.6,26,260,8,46,60,65,1,24,4,21,16
3007,215.03,525.65,175.216667,3.225821,1.127811,0.488632,215.03326180480411,4.6492,3,2.25,1.25,2.25,2.50,0.55,1.8,36,260,10,50,59,75,8,14,10,0,11
3044,215.03,525.65,175.216667,3.225821,1.127811,0.488632,215.03326180480411,4.6492,3,2.25,1.25,2.25,2.50,0.55,1.8,36,260,12,50,59,75,8,14,10,0,11
3386,214.93,121.93,20.321667,2.579404,0.920782,0.921156,214.92885253788955,1.3170,6,0.75,2.00,3.00,1.00,0.45,0.8,22,280,12,50,59,75,8,14,10,23,13
3647,214.67,1025.17,51.258500,3.067083,2.938208,11.357378,214.67436883693424,3.4011,20,0.75,1.25,3.75,1.25,1.35,2.0,18,280,12,49,56,65,8,40,5,5,13
4718,214.66,796.78,46.869412,3.041298,1.389014,7.024579,214.65842040805524,5.5391,17,2.75,3.00,3.75,0.75,1.15,1.7,14,320,12,50,56,65,8,40,6,6,15
3831,214.62,936.41,40.713478,2.742612,1.928198,12.937030,214.61774050957715,4.7566,23,1.00,1.25,1.75,1.50,0.85,0.9,28,280,12,49,56,65,8,40,6,22,13
4024,214.11,342.37,31.124545,2.617165,2.076732,4.679793,214.11026996028937,1.6263,11,1.00,2.00,1.50,1.75,0.65,1.2,20,160,9,46,59,75,8,14,10,23,16
2596,213.20,372.81,28.677692,3.079833,1.535335,1.689084,213.19786270487856,2.4234,13,1.50,2.00,3.00,1.25,1.45,1.0,12,260,8,43,53,60,8,34,7,18,22
3816,212.51,619.94,56.358182,2.922295,1.784205,4.918735,212.50926352044149,3.3738,11,1.00,1.25,1.75,1.00,1.25,1.5,14,140,8,46,60,65,8,40,6,6,16
3686,212.25,1454.00,80.777778,3.184003,3.090395,10.051140,212.24564237780746,4.5726,18,1.00,1.25,3.00,2.00,0.55,1.9,14,280,12,49,56,65,8,40,6,6,13
3364,212.12,939.71,85.428182,2.916993,1.782184,4.891620,212.12373773935244,5.0452,11,1.50,1.25,1.75,1.00,1.25,1.5,14,140,8,46,60,65,1,26,4,5,16
2247,212.07,521.83,52.183000,2.651100,2.325135,3.247555,212.06675409029262,2.1728,10,1.50,2.75,4.25,1.75,0.95,1.4,22,160,8,46,60,65,1,26,4,5,16
